"CLL1" "CLL2" "CLL3" "CLL4" "CLL5" "CLL6" "CLL7" "CLL8" "CLL9" "CLL10" "CLL11" "CLL12" "CLL13" "CLL14" "CLL15" "CLL16" "CLL17" "CLL18" "CLL19" "CLL20" "CLL21" "CLL22" "CLL23" "CLL24" "CLL25" "CLL26" "CLL27" "CLL28" "CLL29" "CLL30" "CLL31" "CLL32" "CLL33" "CLL34" "CLL35" "CLL36" "CLL37" "CLL38" "CLL39" "CLL40" "CLL41" "CLL42" "CLL43" "CLL44" "CLL45" "CLL46" "CLL47" "CLL48" "CLL49" "CLL50"
"ENSG00000067048" "16.17" " 8.69" "16.31" "15.58" "15.96" " 8.92" "16.57" "16.56" " 8.37" "15.81" "17.65" "17.09" "16.65" " 7.81" "15.71" " 8.80" "16.56" "17.26" "15.89" "15.72" "17.43" "11.03" "17.05" "16.20" "16.53" "17.34" "16.08" "16.18" "16.08" " 7.81" " 8.60" " 8.99" "15.86" "11.74" "16.12" "17.43" "16.01" "16.54" " 8.59" "15.99" "15.08" " 8.74" "16.14" " 8.09" "16.16" " 8.31" "16.34" "15.85" " 8.08" "16.36"
"ENSG00000012817" "15.79" " 8.58" "15.53" "15.40" "15.36" " 8.60" "15.91" "16.18" " 8.33" "16.21" "15.31" "16.25" "15.78" " 8.45" "15.67" " 8.77" "16.56" "16.58" "16.31" "15.50" "15.85" " 9.61" "16.15" "15.75" "15.97" "15.64" "15.91" "16.52" "15.80" " 7.81" " 8.26" " 7.81" "16.24" " 9.99" "15.97" "15.94" "16.64" "16.31" " 8.69" "15.83" "15.02" " 8.41" "15.56" " 7.81" "15.97" " 8.28" "15.94" "15.75" " 7.81" "16.23"
"ENSG00000125740" "14.46" "17.97" "14.99" "10.21" "10.88" "13.14" "17.76" "14.78" " 8.28" " 8.73" "18.13" "17.16" "17.35" " 9.37" " 9.89" "13.36" "10.58" "12.11" " 9.34" " 9.45" "17.61" "15.08" "13.36" " 9.22" "16.25" "14.02" "10.16" " 9.27" " 9.75" " 9.12" " 9.55" "17.96" " 9.46" "17.68" "11.32" "18.05" "12.61" " 9.16" "12.70" " 9.40" "11.25" "17.13" "16.47" "11.28" "16.57" "10.99" "12.70" " 8.89" "18.44" " 9.47"
"ENSG00000129824" "15.18" " 8.61" "15.58" "15.00" "15.29" " 8.54" "15.51" "14.82" " 7.81" "15.34" "16.04" "15.15" "16.01" " 8.38" "15.36" " 8.37" "15.43" "16.27" "15.53" "15.17" "15.14" " 9.50" "14.88" "15.57" "15.26" "14.26" "15.36" "15.54" "14.78" " 7.81" " 7.97" " 8.61" "15.24" " 9.85" "15.31" "15.09" "15.35" "15.87" " 8.56" "15.68" "15.24" " 7.81" "15.61" " 7.81" "15.40" " 8.17" "15.17" "15.45" " 7.81" "15.72"
"ENSG00000114374" "14.85" " 8.57" "14.93" "14.80" "14.83" " 8.60" "14.85" "15.30" " 7.81" "15.30" "14.83" "15.43" "14.95" " 8.21" "14.84" " 8.33" "15.54" "14.74" "15.10" "14.94" "15.60" " 9.31" "15.41" "14.94" "14.92" "15.35" "15.23" "15.47" "14.99" " 7.81" " 8.14" " 8.51" "15.03" " 9.44" "15.27" "15.06" "15.17" "15.19" " 8.39" "14.94" "14.15" " 8.60" "14.82" " 7.81" "14.94" " 8.05" "15.24" "14.81" " 7.81" "15.14"
"ENSG00000157654" "14.28" " 7.81" " 7.81" "14.39" "14.87" " 7.81" "15.51" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" "15.07" "12.23" " 7.81" " 7.81" " 7.81" " 7.81" "13.80" " 7.81" " 7.81" "15.26" " 7.81" "14.46" " 7.81" "14.62" " 7.81" "15.19" " 7.81" " 7.81" " 7.81" " 7.81" " 7.81" "15.08" " 7.81" "13.60" " 7.81" " 7.81" "13.90" " 7.81" "13.91" " 7.81" " 7.81"
"ENSG00000105967" " 7.98" " 8.82" " 9.22" "14.11" "16.15" " 9.72" " 8.75" "10.09" "15.28" "16.67" " 8.72" " 8.74" "10.13" "15.71" " 9.51" "15.65" "10.60" "10.53" " 8.40" " 8.76" " 9.90" " 8.92" " 8.98" " 9.56" " 8.85" " 9.39" "15.23" "16.02" " 8.68" "15.17" "10.13" "14.79" " 8.86" " 9.18" " 9.60" " 9.26" " 9.24" " 8.63" " 9.97" " 9.22" " 9.43" "13.08" "16.57" "16.93" " 9.27" "16.62" " 8.78" " 8.68" " 9.56" " 9.48"
"ENSG00000254870" "14.33" " 7.81" " 7.81" "14.07" "13.80" " 7.81" "15.32" " 7.81" " 7.81" " 7.99" " 7.81" " 8.16" " 7.81" " 7.81" " 8.10" " 7.81" " 7.81" " 7.81" " 7.81" "14.14" "13.87" " 8.10" " 7.99" " 8.13" " 7.81" "14.20" " 7.81" " 7.81" "14.06" " 7.81" "14.31" " 7.81" "14.33" " 7.81" "14.28" " 8.21" " 7.81" " 7.81" " 7.81" " 7.81" "13.08" " 7.81" "13.83" " 8.13" " 7.81" "14.45" " 8.19" "14.10" " 8.27" " 7.81"
"ENSG00000174469" "15.60" " 8.57" "14.52" "14.11" "12.06" " 8.40" "11.46" "16.22" "13.20" "13.84" " 8.09" "13.86" "12.24" "16.46" " 8.05" "15.81" "16.96" "13.02" "16.93" "13.26" "13.98" "10.02" "15.73" "11.95" " 8.50" "11.45" "13.34" "15.07" "14.06" " 7.81" "16.46" "12.37" "17.63" "13.45" "16.84" " 8.56" "14.15" "15.50" "12.30" "14.03" "13.81" "16.56" " 8.33" "14.91" "14.21" "14.59" " 9.18" "13.88" " 7.81" "16.29"
"ENSG00000183878" "14.55" " 7.81" "14.09" "13.67" "13.94" " 7.81" "14.87" "14.67" " 7.81" "13.65" "14.83" "14.53" "14.32" " 7.81" "13.83" " 7.81" "14.50" "14.71" "14.10" "13.96" "14.46" " 9.06" "14.21" "13.78" "14.41" "15.08" "13.65" "13.73" "14.08" " 7.81" " 8.04" " 7.81" "13.91" " 9.30" "13.93" "15.08" "14.20" "14.24" " 7.81" "13.68" "13.92" " 7.81" "13.82" " 7.81" "14.00" " 7.81" "14.26" "13.90" " 7.81" "13.75"
